,Unit Price,Yearly Price,Publishing Frequency,Number of Pages,Product Cluster,Introduction Cluster,Best-Selling
Unit Price,1,0.15,-0.304,0.281,-0.113,0.028,0.004
Yearly Price,0.15,1,0.814,0.402,-0.061,-0.02,0.166
Publishing Frequency ,-0.304,0.814,1,0.285,0.009,-0.005,0.177
Number of Pages,0.281,0.402,0.285,1,-0.003,0.088,0.121
Product Cluster,-0.113,-0.061,0.009,-0.003,1,0.031,-0.056
Introduction Cluster,0.028,-0.02,-0.005,0.088,0.031,1,0.023
Best-Selling,0.004,0.166,0.177,0.121,-0.056,0.023,1
